#bytes,#repetitions,t[usec],Mbytes/sec
1,1000,0.24,4.12
2,1000,0.24,8.40
4,1000,0.24,16.86
8,1000,0.24,33.29
16,1000,0.23,68.69
32,1000,0.28,114.47
64,1000,0.27,241.26
128,1000,0.39,327.05
256,1000,0.43,597.85
512,1000,0.52,981.97
1024,1000,0.63,1619.73
2048,1000,0.87,2362.88
4096,1000,1.26,3248.50
8192,1000,2.05,3993.69
16384,1000,3.16,5184.92
32768,1000,5.05,6483.45
65536,640,8.75,7487.00
131072,320,16.22,8081.75
262144,160,16.31,16072.28
524288,80,29.10,18018.10
1048576,40,63.27,16574.01
2097152,20,176.55,11878.76
4194304,10,358.62,11695.74
8388608,5,1071.48,7828.96
16777216,2,2673.90,6274.43
33554432,1,8222.69,4080.71
67108864,1,16840.92,3984.87
134217728,1,34641.27,3874.50
268435456,1,69780.76,3846.84
