#bytes,#repetitions,t[usec],Mbytes/sec
128,1000,1.71,74.68
256,1000,2.00,128.31
512,1000,2.05,249.23
1024,1000,2.27,450.36
2048,1000,2.97,689.87
4096,1000,3.92,1044.94
8192,1000,5.48,1493.86
16384,1000,7.28,2250.20
32768,1000,10.08,3251.66
65536,640,14.49,4524.17
131072,320,23.53,5571.47
262144,160,33.92,7727.48
524288,80,55.51,9444.81
1048576,40,98.84,10608.40
2097152,20,185.99,11275.40
4194304,10,354.95,11816.50
8388608,5,698.63,12007.20
16777216,2,1383.42,12127.38
33554432,1,2758.73,12162.98
67108864,1,5508.25,12183.33
134217728,1,11033.76,12164.28
268435456,1,22111.16,12140.27
